,Datetime,Tweet Id,Text,Username
20,2022-05-05 15:06:00+00:00,1522231140656066561,👏🚀Lanzamos una nueva edición de las #becas Digital Talent Pipeline para cursar un #bootcamp en junio y septiembre ¿Quieres solicitar la tuya? Plazo hasta el 30 de mayo ¡Date prisa #digitaltalent! ➡https://t.co/PXFR0q85F7 https://t.co/qwiGSm4WOI,TheBridge_Tech
21,2022-05-05 07:22:39+00:00,1522114536286920704,La 2da presentación del #LibroIC en #Madrid será el J26Mayo(18:30) en @TheBridge_Tech acompañados por  Tíscar Lara (@tiscar) y Mario López de Ávila (@nodosenlared) sobre impacto de la #IC en el diseño y gestión de las organizaciones. +Info/inscripciones: https://t.co/OVzv1SdR7x,arey
22,2022-05-04 15:15:00+00:00,1521871017714589699,"🤩¿Quieres conocer el talento digital que llevas dentro? ¡Ven a nuestro Open Day y descúbrelo! 

📅Viernes 20 de mayo 11.15h en Paseo de Recoletos 15, Madrid.

🎟Saca tus entradas👇👇https://t.co/qq3WqsydKv",TheBridge_Tech
23,2022-04-28 16:17:33+00:00,1519712433740386308,"¡Gracias a todos por el día de hoy! 😍😍

De la mano de: @AccentureSpain , Bonus Studios, @Making_Science_ @SomosMiogroup , Silicon HR , y @TheBridge_Tech hemos podido acercar el futuro talento digital hacia el mundo laboral 🔝 🔝 

#talent #empresas #marketing #BeGeneration https://t.co/wLbzhtXb94",spaingeneration
24,2022-04-28 15:55:26+00:00,1519706866703638529,En breve empezamos la charla sobre RV y Psicología! Todo ready! @TheBridge_Tech https://t.co/lW3fvKhcGZ,JM_Torralba_
25,2022-04-27 21:44:03+00:00,1519432213061943303,Mañana estaré junto a @LucaMefisto en una mesa redonda en @TheBridge_Tech donde hablaremos de la relación que hay entre #psicologia y la #realidadvirtual. Pinta interesante!!… https://t.co/FXt3Zdj7Uh,JM_Torralba_
26,2022-04-27 16:53:38+00:00,1519359124219338752,"Acabo de escuchar la charla de @kairos_ds en @TheBridge_Tech. Ahora que todo lo que tengo que aprender me abruma. Escuchar que si llego a la meta, me esperará una empresa así (ojalá), un equipo en el que se respire ese buen rollo y amor por el trabajo, me da fuerza para pelear",bertinha84
27,2022-04-27 15:32:18+00:00,1519338659111178242,@pmdr_1189 @TheBridge_Tech Lamentablemente,gabinha
28,2022-04-27 08:03:22+00:00,1519225678335459328,"Esto es hoy! 
Nos vemos en @TheBridge_Tech con @quierodata para hablar de crecimiento dentro de @kairos_ds 🧡 https://t.co/miTZChXSwJ",IrnMM
29,2022-04-27 06:55:39+00:00,1519208638136602626,@burn_es Prueba de ello 📸🔥 https://t.co/7SWL2ionj3,TheBridge_Tech
30,2022-04-26 14:58:20+00:00,1518967719516909568,"Nuestra Head de Data &amp; IA @quierodata, estará mañana en las oficinas de @TheBridge_Tech, para hablar de las oportunidades de crecimiento profesional dentro de Kairós DS.🤩 

@IrnMM la acompañará resolviendo cualquier duda sobre Kairós DS… 

¿Te veremos allí?🧡

#OrgulloKairós https://t.co/0hUC9XkPxF",kairos_ds
31,2022-04-26 14:41:09+00:00,1518963397701906433,"Los compañeros de @TheBridge_Tech nos hablan de #softskills en IT, en #devspega junto a @flyncercom 
El valor diferencial de todo profesional. https://t.co/0On5h6N9hR",BerrocalRuben
32,2022-04-26 11:12:18+00:00,1518910838987501570,"#ESTAPASANDO Talento y competencias digitales #SP22
Inés Garcia @TheBridge_Tech
Enric Montesa @COEV_COM
Leticia Gonzalvez Directora marketing @sesamehr_
La competencia digital demandada en las empresas no son las básicas que todos tenemos. https://t.co/orPM5iTbPE",COGITIValencia
33,2022-04-26 11:06:11+00:00,1518909298688077825,Tenemos que decir que el BURN Mondays de ayer con @TheBridge_Tech fue muy top! 🔝​❤️‍🔥,burn_es
34,2022-04-25 15:05:53+00:00,1518607234976161792,"Este jueves Job Market Place en @TheBridge_Tech con @spaingeneration La feria de empleo con el mejor talento de #marketingdigital @AccentureSpain, @Siliconhr1, ... participarán en busca del mejor talento. Si eres empresa y quieres participar 👉https://t.co/0n4iufzfmi https://t.co/A51YStbfjF",TheBridge_Tech
35,2022-04-25 09:58:29+00:00,1518529871969988608,"""Necesitaba formación técnica para potenciar mi empleabilidad"", cuenta nuestra alumni Clara Bayón a @el_pais 🗞Tras hacer el #bootcamp en #ciberseguridad ahora trabaja en @DeloitteDE Check it out! 👉https://t.co/XGIPZfmtx6 https://t.co/7jrVa74qTG",TheBridge_Tech
36,2022-04-22 08:43:37+00:00,1517423870483042304,Mercedes Mac Pherson @Globant : 'Hay un desconocimiento grande del poder de transformación de la tecnología' #mujerytecnología @TheBridge_Tech https://t.co/OFDlmziC1y,MujeresaSeguir
37,2022-04-22 08:33:23+00:00,1517421295373271041,Sara Gómez @RainG 'La sociedad no sabe lo que hacemos los ingenieros y los tecnólogos' #mujerytecnología @TheBridge_Tech @Globant https://t.co/lYFyIZuW3J,MujeresaSeguir
38,2022-04-22 08:29:12+00:00,1517420242120683520,Comienza nuestra segunda mesa 'Cómo construir un futuro que nos representa'. Aquí te dejamos el enlace para seguirnos en streaming https://t.co/ABQkBBLKmT #mujerytecnología @Globant @TheBridge_Tech https://t.co/kApsKZ04SD,MujeresaSeguir
39,2022-04-22 08:26:55+00:00,1517419666938998784,"Carmen Artigas, secretaria de Estado de Digitalización e Inteligencia Artificial de Asuntos Económicos y Transformación Digital: 'Es nuestro momento. El momento de las mujeres' #mujerytecnología @Globant @TheBridge_Tech https://t.co/gLjyCQPBRH",MujeresaSeguir
40,2022-04-22 08:22:02+00:00,1517418437777240065,"'Nunca se progresa desde el miedo. Hay que arriesgarse disfrutando', Irene Cano @Meta #mujerytecnología @TheBridge_Tech @Globant https://t.co/yaoUnWJIs6",MujeresaSeguir
41,2022-04-22 08:19:53+00:00,1517417898133884928,"'Hay que tener una apertura de mente en los modelos educativos' María Rotondo @Telefonica 
Aquí te dejamos el enlace para seguirnos en streaming https://t.co/ABQkBBLKmT #mujerytecnología @Globant @TheBridge_Tech https://t.co/dB8tF3prJv",MujeresaSeguir
42,2022-04-22 07:48:10+00:00,1517409914792075264,"A día de hoy, el 41 % de las  investigaciones públicas las hacen mujeres. Descubre más datos en numerosas jornada @TheBridge_Tech #mujerytecnología 
https://t.co/bNRyoB4h6y https://t.co/ZBQ4299zQW",MujeresaSeguir
43,2022-04-22 06:55:37+00:00,1517396691443490816,@MujeresaSeguir @Globant @TheBridge_Tech Qué gran panel!,Capgemini_ES
44,2022-04-21 14:26:16+00:00,1517147713254526978,"¿Unimos #psicología, diseño #uxui y #realidadvirtual? La respuesta: SÍ! Te invitamos a la mesa redonda del 28 de abril en @TheBridge_Tech donde trataremos el diseño ux desde el punto de vista del tratamiento de las fobias a través de la #vr. Entradas 👉https://t.co/JGOpD7p2rO",TheBridge_Tech
45,2022-04-21 12:42:41+00:00,1517121644682256385,@MujeresaSeguir @Globant @TheBridge_Tech Apuntado en la agenda 👌,GemmaRBar
46,2022-04-21 12:01:42+00:00,1517111329374543873,¡Gracias a vosotros! https://t.co/g7otWL5xbs,TheBridge_Tech
47,2022-04-21 11:30:01+00:00,1517103356346617856,"📢Como ya sabéis, antes de #SemanaSanta, nuestro alumnado de la #FPinformática💻 visitaron @TheBridge_Tech. Gracias a su trato hacia #ITEP🔵 y su colaboración os ofrecemos nuevas imágenes de esa actividad‼️ En ellas queda patente el interés de la cita 👌🏻 https://t.co/nt0LFYitDB",itep_es
48,2022-04-20 11:26:24+00:00,1516740060346929153,@TheBridge_Tech Otro de los placeres de haber pasado unos meses en esas aulas!! 😉👩🏻‍💻,mrentem
49,2022-04-20 07:56:32+00:00,1516687246241550337,"¡Qué bonito es nuestro palacio! 😍 Todo un privilegio para alumnos, profes y staff poder disfrutar de este espacio en pleno centro de Madrid. https://t.co/DCPt8lWJ6A",TheBridge_Tech
50,2022-04-20 04:57:14+00:00,1516642121729679362,"Actualmente acoge las oficinas de The Bridge, una aceleradora de talento digital
📷 @TheBridge_Tech https://t.co/xgWzxnqdOI",alicesilverpol
51,2022-04-19 19:55:08+00:00,1516505700595388430,@bertinha84 @TheBridge_Tech 👏🏻👏🏻👏🏻  🙌🏻,jmnavarro
52,2022-04-19 15:34:25+00:00,1516440085486575617,"▶Os presentamos a Jesús, alumni recién graduado del #bootcamp de #digitalmarketingops que tras acabar la carrera se lanzó en busca de una especialización en #MarketingDigital ¡Gracias Jesús por compartir tu experiencia y mucha suerte! 🚀 Más info 👉https://t.co/GtnhQmDsGP https://t.co/4VV7VDyjjP",TheBridge_Tech
53,2022-04-18 15:05:12+00:00,1516070347854028804,@AndreaMaganRey @TheBridge_Tech https://t.co/fpGUkYnGX4,bertinha84
54,2022-04-18 14:52:49+00:00,1516067228344533003,@bertinha84 @TheBridge_Tech A por ello @bertinha84 https://t.co/tz445Lv3mV,AndreaMaganRey
55,2022-04-18 13:37:44+00:00,1516048336477995008,@alinnfm @TheBridge_Tech https://t.co/0IWmJ42wab,bertinha84
56,2022-04-18 13:22:37+00:00,1516044530348347394,"@bertinha84 @TheBridge_Tech ¡¡Que emoción!! 🤗
Todo lo bueno del mundo para ti en esta etapa 🏆",alinnfm
57,2022-04-18 08:26:32+00:00,1515970019733258247,@bertinha84 Ese nudo es presagio de algo bueno 😆¡Bienvenida a @TheBridge_Tech ! Muchas horas de #UXUI te esperan 🙌 ¡sin miedo!,TheBridge_Tech
58,2022-04-18 06:50:51+00:00,1515945939508375556,"@marcosDLCS @TheBridge_Tech Lo haré, gracias Marcos 🙂",bertinha84
59,2022-04-18 06:43:57+00:00,1515944204127645701,"@bertinha84 @TheBridge_Tech Mucha suerte en la nueva aventura.

¡No olvides compartir tu camino y tus experiencias! 

Seguro que son de utilidad para la comunidad.

💪",marcosDLCS
60,2022-04-18 06:03:12+00:00,1515933948001632256,Hoy empiezo en un ratito mi camino en el Ux/ui de la mano de @TheBridge_Tech en su bootcamp. Tengo un nudo enorme en el estómago y todas las ganas de aprender. A por todas voy!,bertinha84
61,2022-04-12 13:12:30+00:00,1513867656180477953,"@manufosela @Adalab_Digital @4GeeksAcademyES @socratech_ @TheBridge_Tech @ITAcademy @nebulova_es Muy orgullosos de nuestros Top Notch Coders🚀
Mucho ánimo a esa 6ª #GeneracionK  de 
@kairos_ds con todo lo nuevo👏",CodenotchMAD
62,2022-04-12 11:55:30+00:00,1513848281801056258,"De los 21, hay 7 desarrolladoras de @Adalab_Digital, 4 de @4GeeksAcademyES, 2 de @CodenotchMAD, 1 de @socratech_ , 1 de @TheBridge_Tech, 1 de @ITAcademy, 1 de @nebulova_es y de FP-DAW y autodidactas.",manufosela
63,2022-04-12 09:11:58+00:00,1513807125205684224,A la vuelta de #SemanaSantaSevilla toca👉 #bootcamps🧑‍💻Especialízate en #datascience o #desarrollowebfullstack con nuestros programas en colaboración con @ENCamaraSevilla ¡Estudia en pleno centro de Sevilla! Y en unos meses sal a comerte el sector tech🚀https://t.co/1MQSzZSqLv https://t.co/ggtxFWCV72,TheBridge_Tech
64,2022-04-11 11:05:33+00:00,1513473323589672963,"📅El 25 de abril estrenamos los #BurnMondays🔥, con la colaboración de @burn_es, una oportunidad para que nuestr@s alum@s puedan presentar sus proyectos, hacer un taller... En definitiva, mostrar su talento al🌎 ¡Save the date! ➡ Entradas https://t.co/yzVCLHZXVd  
#bootcamps https://t.co/yZuTjBCGIf",TheBridge_Tech
65,2022-04-07 11:18:21+00:00,1512026991578566657,@burn_es ¿Algún que otro? 😝 Toda energía extra es bienvenida y necesaria 🔋🔥 ¡Gracias @burn_es! Pronto haremos buen uso de ella... https://t.co/p0uELS5eIf,TheBridge_Tech
66,2022-04-07 10:00:06+00:00,1512007299187027971,"Nos han contado que en @TheBridge_Tech se lo curran mucho... Hemos colado algún que otro BURN, ¿os viene bien una ayudita de energía? 🔋🔥",burn_es
67,2022-04-07 07:35:47+00:00,1511970979324518406,En dos semanas empezamos los bootcamps Part Time (compatibles con trabajo/estudios) en #Sevilla y en @ENCamaraSevilla ya hay quién ha empezado a calentar!!💪 ¿Preparados para lo que viene? 👉https://t.co/1KbOQQK8iw https://t.co/qfXAXSFyZ4,TheBridge_Tech
68,2022-04-06 09:13:36+00:00,1511633207061630980,@TheBridge_Tech ¡A vuestra disposición! ¡Muchas gracias!,beajmnz
69,2022-04-06 07:55:05+00:00,1511613451063410690,"@AndreaMaganRey Hola Andrea ¡Qué gran trabajo! Estamos encantados de pasarte información para que puedas completar ese listado, te mandamos un DM 👏",TheBridge_Tech
70,2022-04-05 13:07:13+00:00,1511329612260950019,@assemblerinstit @TheBridge_Tech @CraftCodeTech @CodeHouseLearn @CodenotchMAD @NeolandStudio @Adalab_Digital @IEuniversity @lemoncoders @codeworks @geeks_academy @penascalf5 Hola. Lo tenemos en formato Json en Git. https://t.co/x2dnE2VFAB Podéis hacer un PR ;),raulcotrina
71,2022-04-05 13:03:14+00:00,1511328611755827200,"@raulcotrina @TheBridge_Tech @CraftCodeTech @CodeHouseLearn @CodenotchMAD @NeolandStudio @Adalab_Digital @IEuniversity @lemoncoders @codeworks @geeks_academy @penascalf5 Muy buenas Raúl, nos parece una idea increíble. ¿Me dices donde te pasamos la información de los cursos que tenemos actualmente?",assemblerinstit
72,2022-03-31 20:04:25+00:00,1509622664297693189,"Cuando piensas en un hacker... ¿Te imaginas a una mujer? 🤔 ""Son muy pocas las mujeres que deciden apostar por estudios de tecnología, hay que fomentar la inclusión de las mujeres en un mercado laboral con un futuro muy prometedor"", explica @ikerarceseco 👩‍💻https://t.co/UQgHL1tLCQ",TheBridge_Tech
73,2022-03-30 11:12:07+00:00,1509126320386715655,Hemos colaborado con @TheBridge_Tech aportando el proyecto final de los alumnos para el Desafío de Tripulaciones y premiando a los 3 grupos con una donación para la ONG de su elección. Increíbles resultados en tiempo récord🤩 #apoyamoseltalentotech https://t.co/vJ5HdV6gSN https://t.co/LpSUpFtdfp,TheFringeLABS
74,2022-03-30 10:01:47+00:00,1509108619782111235,"¡Llegó el día! Hoy es el #DesafiodeTripulaciones ⚔ en el campus de #Valencia ¡Mucha suerte a toda esa primera promoción valenciana presentando sus súper webapps! No te lo pierdas ▶ Sigue ya el DIRECTO aquí https://t.co/lLXz2wKxaX

#datascience #fullstackwebdevelopment #bootcamp",TheBridge_Tech
75,2022-03-30 09:35:11+00:00,1509101924699803650,"Seguimos con la 2mesa #ForoVocentoEducación: Formación para el futuro y las nuevas profesionales que vienen. Participan:
▪️ @JuanJoseJuarez @FBertelsmann
▪️ @mortizcotro @FundCreate
▪️ Iker Arce @TheBridge_Tech
▪️ Gabriel Masfurroll @UABBarcelona
🔴DIRECTO https://t.co/8xxFlqVpCP https://t.co/3qAkFVQ9bs",vocentoeventos
76,2022-03-30 07:47:54+00:00,1509074925654532099,"A partir de las 11h nuestro CEO @ikerarceseco participa en el #ForoVocentoEducacion en el debate ""Formación para el futuro y las nuevas profesiones que vienen"" organizado por @Vocento (@vocentoeventos) y @KreabEspana. Síguelo🔴EN DIRECTO ➡ https://t.co/JFh6RBMBd4 https://t.co/OvbZKL0yVZ https://t.co/RJvjrxULch",TheBridge_Tech
77,2022-03-29 16:26:46+00:00,1508843117000249345,"2⃣ FORMACIÓN PARA EL FUTURO Y LAS NUEVAS PROFESIONES QUE VIENEN
▪️ @JuanJoseJuarez (@FBertelsmann)
▪️ @mortizcotro (@FundCreate)
▪️ Iker Arce (@TheBridge_Tech)
▪️ Gabriel Masfurroll (@UABBarcelona)
Modera: Antonio San José (@asanjoseperez) (@KreabEspana) 
#ForoVocentoEducación https://t.co/kMY2q5gEZE",vocentoeventos
78,2022-03-26 13:30:10+00:00,1507711509467734019,"Jaime, estoy seguro de que en @TheBridge_Tech , la aceleradora de talento digital líder en nuestro país, estarían encantados de ayudarte en la organización de ese Hackhaton. Al menos yo lo estoy 😉 https://t.co/60ybQN84qk",nodosenlared
79,2022-03-24 18:17:28+00:00,1507059034146361344,"La @camaradesevilla organiza junto al Grupo Planeta y su presidente José Lara, este encuentro con las empresas #ClubCámara para recoger las necesidades del #SectorTecnológico y presentar nuestra oferta de #Bootcamps de la mano de @TheBridge_Tech https://t.co/rJkWd5MKT8 https://t.co/J6SHTHXylM",ENCamaraSevilla
80,2022-03-24 16:18:18+00:00,1507029045187387401,Hoy han venido a visitarnos los alumnos de @itep_es de #DAM #ASIR y #MARKETING para conocer nuestro campus de Madrid y el futuro de profesiones tecnológicas como las suyas ¡Esperamos que hayais pasado una estupenda jornada! Sois los profesionales #techie del mañana 👩‍💻🧑‍💻 https://t.co/U1gPnU7TgI,TheBridge_Tech
81,2022-03-24 10:30:11+00:00,1506941441574117378,"¿Crees que lo sabes todo?🤓¡Déjate sorprender! Adéntrate en el mundo de la #ProgramacionWeb y las criptomonedas, conoce la metolodogía #Scrum o profundiza en el #deeplearning. Apúntate a nuestros talleres gratuitos y amplía horizontes 👉https://t.co/bYfstQB02R https://t.co/O1Y4J6puMR",TheBridge_Tech
82,2022-03-18 08:19:22+00:00,1504734193401618459,"¡Comenzamos el #Desafiodetripulaciones ⚔ de la promo full time de noviembre! El tema de los proyectos: el #coliving, con la colaboración de @TheFringeLABS  ¡No te pierdas las web apps que han creado! 🔴EN DIRECTO https://t.co/PepMdUmCMu",TheBridge_Tech
83,2022-03-17 18:30:10+00:00,1504525515247472649,"🎉 Congrats to @simplilearn, @TheBridge_Tech, @thinkful, and @udacity who made it on our list of the 14 Best Digital Marketing Bootcamps of 2022! https://t.co/tgUf4qX2DX https://t.co/MIhFTrM9lA",CourseReport
84,2022-03-17 11:18:27+00:00,1504416870526590977,"Más de 300.000 expertos en #ciberseguridad se han unido en una especie de ""ejército IT"" en Ucrania para llevar a cabo ataques informáticos contra infraestructuras y empresas rusas 👾🔓https://t.co/CERWGVqWQw",TheBridge_Tech
85,2022-03-17 08:52:24+00:00,1504380116792664064,"En 2021, las instituciones que forman profesionales digitales con modelos de Bootcamp prepararon a más personas que el 94% de las universidades españolas @Adalab_Digital @TheBridge_Tech @ironhack https://t.co/zyzeLrNdLo",carlosguardiola
86,2022-03-15 19:01:18+00:00,1503808574987935757,"🔐 We've combed through student &amp; alumni reviews to find the 17 Best Cyber Security Bootcamps of 2022, including @Level_Effect, @nexgent, @simplilearn, @Springboard, and @TheBridge_Tech! 
https://t.co/t9VCetS80T https://t.co/uhS3m8KSBT",CourseReport
87,2022-03-14 23:28:02+00:00,1503513313648463877,@PICKYUAN @TheBridge_Tech @PagePersonnel Yo por experiencia te diría que busques otra escuela. Cuando las cosas funcionan bien todo muy bonito ahora cuando no… no hacen nada y te dicen que esto es lo que hay 😅🤦‍♂️,soyelsimo
88,2022-03-14 16:34:24+00:00,1503409219789328384,¡Muy contentos por todos ellos! 100% empleabilidad en la promoción de junio. Gracias desde @TheBridge_Tech por confiar y ponerlo todo tan fácil ¡Felicidades! #fullstackdevelopers #datascientists #digitalmarketers #uxuidesigners #cybersecurityanalysts 🎯💼 https://t.co/R0eGi9QXv5,TheBridge_Tech
89,2022-03-11 19:07:12+00:00,1502360507365400587,"👾La #ciberseguridad, más necesaria que nunca.

El #sectortecnológico pide más financiación y formación de profesionales para evitar ataques a sectores claves para la economía como energía, finanzas y transporte 🔒 https://t.co/OxY8JpRavS",TheBridge_Tech
90,2022-03-11 08:11:49+00:00,1502195577584500740,"¿Algún identificado en la sala? 😂

#desarrolloweb #css #fullstackdeveloper https://t.co/169UXtS1b5",TheBridge_Tech
91,2022-03-09 13:02:12+00:00,1501543878692073472,Faltan por salir las listas de #UXUIProductDesign #DataScience y #DesarrolloWebFullStack ¡Sería estupendo volver a aparecer!,TheBridge_Tech
92,2022-03-09 12:09:36+00:00,1501530641610989581,¡El #bootcamp de #Ciberseguridad de @TheBridge_Tech vuelve a estar entre los mejores bootcamps del mundo! Y este año también nos estrenamos con el de #DigitalMarketingOps que entra por primera vez en la lista de #CourseReport! Una súper noticia👏👏¡Gracias a todos! #bestbootcamps https://t.co/3xShvybDST,TheBridge_Tech
93,2022-03-05 15:02:16+00:00,1500124541137428490,"Día para agradecer a @TheBridge_Tech y @Glovo_ES la oportunidad que han dado a estos dos cracks para formarse con @codeorg en programación por bloques en un curso de 48 horas de duración.
Bravo 🙌 
🔝🦸🏻‍♂️🦸🏻‍♀️🏭🇪🇸 https://t.co/ZTCrroHQTc",pablooliete
94,2022-03-03 14:55:10+00:00,1499397980704546831,[Opinión] Por más mujeres líderes en tecnología https://t.co/FqVeFL1ljq https://t.co/SFOFIEv1Uo @TheBridge_Tech https://t.co/kBo9xGdGrU,Poder_Liderazgo
95,2022-03-03 14:54:32+00:00,1499397820410851332,[Opinión] Por más mujeres líderes en tecnología - https://t.co/FqVeFL1ljq @TheBridge_Tech https://t.co/TE5sXsBaAT,Poder_Liderazgo
96,2022-03-03 14:45:14+00:00,1499395478563155968,"@PICKYUAN @PagePersonnel Sentimos mucho el fallo técnico. Revisaremos que pudo pasar, pueden conectarse a próximos eventos o contactarnos si quieren más información sobre la escuela llamar al 919 01 72 57 ¡Gracias!",TheBridge_Tech
97,2022-03-02 18:25:08+00:00,1499088433293185033,"@TheBridge_Tech @PagePersonnel Mi hijo y yo nos apuntamos con muchos días de antelación
Hoy a las 7 nos conectamos y aparece el mensaje ""Enlace caducado"": no nos hemos podido conectar
Es una pena que, además de tener que recurrir a lo on-line, con la frialdad que supone, ocurran estos fallos técnicos
Muy mal",PICKYUAN
